ville,latitude,longitude,pays
Amiens,49.9,2.3,France
Annecy,45.90878,6.12565,France
Avignon,43.94834,4.80892,France
Bayeux,49.27732,-0.7039,France
Bayonne,43.49316,-1.473,France
Biarritz,43.48055,-1.55684,France
Carcassonne,43.21649,2.34863,France
Cassis,43.21571,5.53855,France
Collioure,42.52462,3.08235,France
Colmar,48.08078,7.35584,France
Dijon,47.31667,5.01667,France
Eguisheim,48.0428,7.30617,France
Grenoble,45.17869,5.71479,France
La Rochelle,46.16308,-1.15222,France
Le Havre,49.4938,0.10767,France
Lille,50.63297,3.05858,France
Lyon,45.74846,4.84671,France
Marseille,43.29695,5.38107,France
Montauban,44.01759,1.3542,France
Paris,48.85341,2.3488,France
Rouen,49.44313,1.09932,France
Strasbourg,48.58392,7.74553,France
Toulouse,43.60426,1.44367,France
